"title","views","url","id","dateCreated","lastThirty"
"Why can't I log in to Procore?","627445","https://support.procore.com/faq/trouble-logging-in-to-procore","39950","Thu, 11 Oct 2018 20:56:52 GMT",37282
"How do I change my web browser's default email client for mailto links?","319764","https://support.procore.com/faq/how-do-i-change-my-web-browsers-default-email-client-for-mailto-links","4118","Mon, 31 Aug 2015 18:30:51 GMT",4975
"Why is my Procore Certified Certificate missing?","94431","https://support.procore.com/faq/why-is-my-procore-certified-certificate-missing","3297","Tue, 16 Jun 2015 14:36:59 GMT",1083
"Why did I receive an error message in Procore?","77051","https://support.procore.com/faq/why-did-i-receive-an-error-message-in-procore","22721","Fri, 04 Aug 2017 16:40:22 GMT",3635
"What are Procore's default cost codes?","76915","https://support.procore.com/faq/what-are-procores-default-cost-codes","8087","Mon, 06 Jun 2016 20:57:07 GMT",1685
"What is the difference between SP- and IdP-Initiated SSO?","76054","https://support.procore.com/faq/what-is-the-difference-between-sp-and-idp-initiated-sso","15979","Thu, 30 Mar 2017 15:18:29 GMT",1687
"How can I improve the accuracy of OCR on my drawings?","72764","https://support.procore.com/faq/how-can-i-improve-the-accuracy-of-ocr-on-my-drawings","5959","Wed, 02 Mar 2016 22:52:05 GMT",738
"What is a submittal?","58234","https://support.procore.com/faq/what-is-a-submittal","1707","Mon, 02 Mar 2015 17:12:24 GMT",1227
"How do I navigate Procore's tools?","49415","https://support.procore.com/faq/how-do-i-navigate-procores-tools","1886","Thu, 05 Mar 2015 22:43:41 GMT",1002
"What is a Test Project?","36826","https://support.procore.com/faq/what-is-a-test-project","69126","Fri, 31 Jan 2020 18:43:33 GMT",1195
"What gets copied over to a new project when applying a project template?","35472","https://support.procore.com/faq/what-gets-copied-over-to-a-new-project-when-applying-a-project-template","2039","Wed, 11 Mar 2015 16:14:54 GMT",987
"How do I reset an unknown password?","31519","https://support.procore.com/faq/how-do-i-reset-an-unknown-password","2843","Tue, 19 May 2015 23:49:29 GMT",2269
"Why are my drawing uploads failing?","30995","https://support.procore.com/faq/why-are-my-drawing-uploads-failing","44502","Wed, 09 Jan 2019 00:20:33 GMT",1798
"How do I add someone as an employee of my company?","29698","https://support.procore.com/faq/how-do-i-add-someone-as-an-employee-of-my-company","9338","Thu, 21 Jul 2016 21:29:08 GMT",846
"What are the different change order tier settings in Project Financials?","28355","https://support.procore.com/faq/what-are-the-different-change-order-tier-settings-in-project-financials","2569","Wed, 06 May 2015 22:42:37 GMT",464
"How can I improve the accuracy of Specification Section Identification?","27319","https://support.procore.com/faq/how-can-i-improve-the-accuracy-of-specification-section-identification","5950","Wed, 02 Mar 2016 22:04:13 GMT",351
"How does the Transport Layer Security v1.2 requirement impact users?","22382","https://support.procore.com/faq/how-does-tls-1-2-impact-users","45562","Fri, 25 Jan 2019 20:07:21 GMT",5
"What are the default project permissions templates in Procore?","19971","https://support.procore.com/faq/what-are-the-default-project-permissions-templates-in-procore","13775","Fri, 20 Jan 2017 19:04:05 GMT",365
"Why can't I receive email from Procore?","19606","https://support.procore.com/faq/why-cant-i-receive-email-from-procore","1533","Tue, 24 Feb 2015 00:32:27 GMT",287
"Which domains do we add to our network's 'Allowed List' to ensure access to Procore?","19305","https://support.procore.com/faq/which-domains-do-we-add-to-our-networks-allowed-list-to-ensure-access-to-procore","32306","Wed, 11 Apr 2018 17:32:17 GMT",633
"What is the difference between a distribution group and distribution list in Procore?","19057","https://support.procore.com/faq/what-is-the-difference-between-a-distribution-group-and-a-distribution-list","35893","Thu, 12 Jul 2018 15:58:32 GMT",331
"Why are my specification uploads failing?","18315","https://support.procore.com/faq/why-are-my-specification-uploads-failing","48646","Mon, 25 Mar 2019 23:36:26 GMT",596
"What's the difference between a job, a parent job, and a sub job?","17535","https://support.procore.com/faq/what's-the-difference-between-a-job-a-parent-job-and-a-sub-job","21104","Tue, 27 Jun 2017 17:55:19 GMT",311
"How do I view incomplete certification or continuing education lessons?","17459","https://support.procore.com/faq/how-do-i-view-incomplete-certification-or-ce-lessons","22959","Wed, 09 Aug 2017 16:45:20 GMT",198
"What is a Training Center?","17349","https://support.procore.com/faq/what-is-a-training-center","9235","Tue, 12 Jul 2016 22:35:01 GMT",286
"What is a Project Template?","16768","https://support.procore.com/faq/what-is-a-project-template","69142","Fri, 31 Jan 2020 23:07:23 GMT",479
"What are the default submittal responses in Procore?","16708","https://support.procore.com/faq/what-are-the-default-submittal-responses-in-procore","13293","Tue, 10 Jan 2017 21:04:13 GMT",318
"What type of mobile device should I use for Procore?","16623","https://support.procore.com/faq/what-type-of-mobile-device-should-i-use-for-procore","11316","Wed, 26 Oct 2016 18:11:45 GMT",265
"What are configurable fieldsets and which Procore tools support them?","15780","https://support.procore.com/faq/what-are-configurable-fieldsets-and-which-procore-tools-support-them","50762","Wed, 08 May 2019 17:38:59 GMT",434
"What is 'Blocking Functionality' in an action plan?","14611","https://support.procore.com/faq/what-is-blocking-functionality-in-an-action-plan","106882","Tue, 03 Nov 2020 00:34:34 GMT",26
"What is a permissions template?","14582","https://support.procore.com/faq/what-is-a-permissions-template","13801","Fri, 20 Jan 2017 23:59:26 GMT",741
"Which Procore tools support granular permissions?","14542","https://support.procore.com/faq/which-procore-tools-support-granular-permissions","14116","Fri, 27 Jan 2017 19:57:53 GMT",414
"What is the Punch List Workflow?","14127","https://support.procore.com/faq/what-is-the-punch-list-work-flow","34937","Wed, 13 Jun 2018 21:50:35 GMT",161
"How do I sign up for Procore?","14082","https://support.procore.com/faq/how-do-i-sign-up-for-procore","2647","Mon, 11 May 2015 21:32:16 GMT",4289
"How do I create a fillable PDF?","13959","https://support.procore.com/faq/how-do-i-create-a-fillable-pdf","24236","Tue, 19 Sep 2017 18:47:27 GMT",232
"How do I sign-up for Procore Certification if I do not have Procore login credentials?","13814","https://support.procore.com/faq/how-do-i-sign-up-for-procore-certification-if-i-do-not-have-procore-login-credentials","3634","Mon, 13 Jul 2015 05:54:59 GMT",192
"Who Needs Continuing Education Units?","13688","https://support.procore.com/continuing-education/faq/who-needs-continuing-education-units","9414","Thu, 28 Jul 2016 18:12:40 GMT",190
"What is an 'Instruction' or 'Site Instruction'?","13379","https://support.procore.com/faq/what-is-a-site-instruction","19227","Mon, 05 Jun 2017 21:34:54 GMT",156
